title,release,day_audience,total_audience,screen,Nationality,distributor,grade,genre,director,actor,date,day,weekday,holiday,SF,가족,공포(호러),기타,다큐멘터리,드라마,멜로/로맨스,뮤지컬,미스터리,범죄,사극,서부극(웨스턴),성인물(에로),스릴러,애니메이션,액션,어드벤처,전쟁,코미디,판타지,12세이상관람가,청소년관람불가,전체관람가,15세이상관람가
19곰테드2,2015-06-25,3960,167144,281,미국,유니버설픽쳐스인터내셔널코리아(유),청소년관람불가,코미디,세스맥팔레인,"마크월버그,세스맥팔레인,아만다사이프리드,모건프리먼,리암니슨",2015-07-08,14,수요일,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
1급기밀,2018-01-24,1651,215150,440,한국,(주)리틀빅픽쳐스,12세이상관람가,드라마,홍기선,"김상경,김옥빈,최무성,최귀화,김병철,최고,이지원",2018-02-06,14,화요일,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2012,2009-11-12,100537,3575115,687,미국,한국소니픽쳐스릴리징브에나비스타영화㈜,12세이상관람가,"SF,액션,어드벤처",롤랜드에머리히,"존쿠삭,아만다피트,올리버플랫,탠디뉴튼,치웨텔에지오포",2009-11-25,14,수요일,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
22블렛,2010-10-14,1925,127441,227,프랑스,㈜케이디미디어,청소년관람불가,"액션,범죄",리샤르베리,"장르노,카드메라드",2010-10-27,14,수요일,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
23아이덴티티,2017-02-22,16504,1562611,503,미국,유니버설픽쳐스인터내셔널코리아(유),15세이상관람가,스릴러,M.나이트샤말란,"제임스맥어보이,안야테일러조이,헤일리루리차드슨,베티버클리,브래드윌리엄헨크,킴디렉터,스털링K.브라운",2017-03-07,14,화요일,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
26년,2012-11-29,95295,2069773,442,한국,"(주)인벤트스톤,영화사청어람(주)",15세이상관람가,"액션,드라마",조근현,"진구,한혜진,임슬옹,배수빈,이경영,장광,천우희,이현걸,전종석,정광재,지성용,김병오,김용민,이상훈,이경영,정현진,이미도,조덕제,김의성,김도윤",2012-12-12,14,수요일,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
300제국의부활,2014-03-06,29416,1422304,651,미국,워너브러더스코리아(주),청소년관람불가,"액션,드라마,전쟁",노암머로,"레나헤디,에바그린,설리반스탭플턴,로드리고산토로",2014-03-19,14,수요일,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
47미터,2017-07-19,7384,588045,542,영국,씨네그루(주)키다리이엔티,15세이상관람가,"스릴러,공포(호러)",조하네스로버츠,"맨디무어,클레어홀트,매튜모딘",2017-08-01,14,화요일,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
4교시추리영역,2009-08-12,155,67287,160,한국,롯데쇼핑㈜롯데엔터테인먼트,15세이상관람가,"공포(호러),스릴러",이상용,"김호연,유승호,강소라,송현,조예진,김민수,김대정,김태일,이샛별,최성겸,장희정,임수향,임은지,임장군,오미혜,김준혁,정석용,이영진,이찬호",2009-08-25,14,화요일,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
500일의썸머,2010-01-21,1443,130227,181,미국,"(주)팝엔터테인먼트,이십세기폭스코리아(주)",15세이상관람가,"드라마,멜로/로맨스",마크웹,"조셉고든레빗,주이데샤넬,제프리아렌드,클로이모레츠",2010-02-03,14,수요일,0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
50가지그림자심연,2017-02-09,1410,181941,419,미국,유니버설픽쳐스인터내셔널코리아(유),청소년관람불가,"드라마,멜로/로맨스",제임스폴리,"제이미도넌,다코타존슨",2017-02-22,14,수요일,0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
50가지그림자해방,2018-02-21,3133,198033,162,미국,유니버설픽쳐스인터내셔널코리아(유),청소년관람불가,"드라마,멜로/로맨스,스릴러",제임스폴리,"다코타존슨,제이미도넌",2018-03-06,14,화요일,0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
577프로젝트,2012-08-30,772,92924,191,한국,필라멘트픽쳐스,15세이상관람가,"코미디,드라마",이근우,"하정우,공효진,김성균,이승하,차현우,이지훈",2012-09-12,14,수요일,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
5백만불의사나이,2012-07-19,69,104684,331,한국,씨제이이앤엠(주),15세이상관람가,코미디,김익로,"박진영,조성하,민효린,조희봉,오정세,이병준,주광현,한유림,이원익,이유수,윤미영",2012-08-01,14,수요일,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
7광구,2011-08-04,12322,2179605,733,한국,씨제이이앤엠(주),15세이상관람가,"SF,액션,스릴러",김지훈,"하지원,박철민,김성태,차예련,이한위,오지호,송새벽,안성기,박원희,김형석,박정학,배명호,장동원,정상용,박영수,오민석",2011-08-17,14,수요일,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
7급공무원,2009-04-22,225969,1907954,339,한국,롯데쇼핑㈜롯데엔터테인먼트,12세이상관람가,"코미디,액션,드라마,범죄",신태라,"김하늘,강지환,유승목,강규영,김민국,강신일,장남열,심은혜,박지영,나귀화,서정주,천성일,민홍남,이상욱,박병렬,정경민,이수지,임성현,김재훈,김철남,이가현,서민경,이정선,김은주,손호승,김형범,장영남",2009-05-05,14,화요일,1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
